PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40626318,Leveraged Vaccination to Alleviate Original Antigenic Sin for Enhancing Broad-Neutralizing Antibody Response against SARS-CoV-2 Omicron Subvariants.,2025 Jul,"Kai Ji, Zezhong Liu, Xishan Lu, Bo Ying","Department of Pharmacology & the Key Laboratory of Smart Drug Delivery School of Pharmacy Ministry of Education Fudan University Shanghai China.; Suzhou Abogen Biosciences Co., Ltd. Suzhou Jiangsu China.",N/A
40625789,Enhancing the response to avian influenza in the US and globally.,2025 Jun,Martha Nelson,"National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD, USA.",N/A
40625421,The dual threat: exploring the emergence of human metapneumovirus and SARS-CoV-2 coinfections in respiratory infections.,2025 Aug,"Falguni Goel, Daksh Kumar","Department of Pharmaceutical Technology, Meerut Institute of Engineering & Technology (MIET), Meerut, India.",N/A
40620653,Incomplete systemic capillary leak syndrome after COVID-19 vaccination: a case-based review.,2025,Brygida Marczyk,"Jagiellonian Centre for Experimental Therapeutics (JCET), Jagiellonian University, Krakow, Poland.",N/A
40619617,Engineered Dual-Function Antibody-Like Proteins to Combat SARS-CoV-2-Induced Immune Dysregulation and Inflammation.,2025 Jul 06,"Yizhuo Wang, Chenwu Bai, Kerui Hou, Xin Liu","School of Pharmaceutical Sciences, Zhongnan Hospital of Wuhan University, Wuhan University, Wuhan, 430071, China.",N/A
40617534,Scalable approach for Coronavirus-like particles making based on the Spike protein using Sf9 cells.,2025 Jul 03,Henrique Coelho de Oliveira,"Eppendorf do Brasil Ltda. Rua Presidente Antônio Candido, 80, CEP 05083-060, São Paulo, SP-Brazil.",N/A
40616520,Discovery of the Clinical Candidate S-892216: A Second-Generation of SARS-CoV-2 3CL Protease Inhibitor for Treating COVID-19.,2025 Jul 05,"Yuto Unoh, Keiichiro Hirai, Shota Uehara, Sho Kawashima, Haruaki Nobori, Jun Sato, Hiromitsu Shibayama, Akihiro Hori, Kenji Nakahara, Kana Kurahashi, Masayuki Takamatsu, Shiho Yamamoto, Qianhui Zhang, Miki Tanimura, Reiko Dodo, Yuki Maruyama, Ryosuke Watari, Tetsuya Miyano, Teruhisa Kato, Takafumi Sato, Yuki Tachibana","Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.",N/A
40613498,Hydrophobin-Fused SARS-CoV-2 RBD production in Nicotiana benthamiana L. for COVID-19 serology.,2025 Dec,"Daniel Freire Lima, Cícero Matheus Lima Amaral, Arnaldo Solheiro Bezerra, Amauri Barbosa da Silva Junior, Yago Kayan de Souza Lima, Bruno Bezerra da Silva, Natalia do Vale Canabrava, Eridan Orlando Pereira Tramontina Florean, Maria Izabel Florindo Guedes","Laboratory of Biotechnology and Molecular Biology, State University of Ceará, Fortaleza, Ceará, Brazil.",N/A
40613010,COVID-19 Hospitalization and Mortality Trends Among US Dialysis Patients by Race/Ethnicity and Vaccination Status.,2025 Jul,"Monica M Shieu, Nien Chen Li, Harold J Manley, Antonia Harford, Doug Johnson, Eduardo K Lacson","Quality Analytics, Dialysis Clinic Inc., Nashville, TN.",N/A
40612010,A scoping review of authorisation pathway for COVID-19 vaccines among selected countries.,2025,"Parnnaphat Luksameesate, Osot Nerapusee, Puree Anantachoti","School of Pharmacy, Eastern Asia University, Pathumthani, Thailand.; Faculty of Pharmaceutical Sciences, Department of Social and Administrative Pharmacy, Chulalongkorn University, Bangkok, Thailand.",N/A
40606627,Effectiveness and safety of azvudine in the treatment of COVID-19 patients: a retrospective cohort study using propensity score matching.,2025,"Jing Zhang, Fang Wang, Ying Xie, Qianyu Li, Zhenzhen Zhu, Yuan Dong","Department of Pharmacy, Medical Security Center Stationed in the 5th Medical Center Pharmacy Room, People's Liberation Army of China General Hospital, Beijing, China.",N/A
