PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40626318,Leveraged Vaccination to Alleviate Original Antigenic Sin for Enhancing Broad-Neutralizing Antibody Response against SARS-CoV-2 Omicron Subvariants.,2025 Jul,"Guangxu Zhang, Qian Wang, Kai Ji, Yuanzhou Wang, Wei Xu, Jie Zhou, Zezhong Liu, Ruixue Xiu, Lixiao Xing, Jianghao Zhou, Yuren Shi, Xishan Lu, Xuanyi Wang, Bo Ying, Lu Lu, Shibo Jiang","Key Laboratory of Medical Molecular Virology (Ministry of Education/National Health Commission/Chinese Academy of Medical Science), Shanghai Institute of Infectious Disease and Biosecurity, School of Basic Medical Sciences Fudan University Shanghai China.; Department of Pharmacology & the Key Laboratory of Smart Drug Delivery School of Pharmacy Ministry of Education Fudan University Shanghai China.; Suzhou Abogen Biosciences Co., Ltd. Suzhou Jiangsu China.",N/A
40625827,"Epidemiology of human respiratory tract infection in Chongqing, China after COVID-19-based on surveillance data encompassing 17 respiratory pathogens.",2025,"Zhourong Li, Luzhao Feng, Mingyue Jiang, Yanxia Sun","School of Population Medicine and Public Health, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China.; School of Public Health, Chongqing Medical University, Chongqing, China.",N/A
40625789,Enhancing the response to avian influenza in the US and globally.,2025 Jun,"Jared D Evans, Lauren M Sauer, Martha Nelson, Florian Krammer, Gene Olinger, Marion Koopmans","National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD, USA.; University of Nebraska Medical Center, Omaha, NE, USA.; Medical University of Vienna, Vienna, Austria.; Erasmus Medical Center, Utrecht, Netherlands.; University of Texas Medical Branch, Galveston, TX, USA.",N/A
40625421,The dual threat: exploring the emergence of human metapneumovirus and SARS-CoV-2 coinfections in respiratory infections.,2025 Aug,"Falguni Goel, Daksh Kumar, Sachchida Nand Rai","Centre of Experimental Medicine & Surgery, Institute of Medical Sciences, Banaras Hindu University, Varanasi, India.; Department of Pharmaceutical Technology, Meerut Institute of Engineering & Technology (MIET), Meerut, India.",N/A
40624510,Dynamics of contact behaviour by self-reported COVID-19 vaccination and infection status during the COVID-19 pandemic in Germany: an analysis of two large population-based studies.,2025 Jul 07,"Lena Böff, Manuela Harries, Annette Aigner, Berit Lange","Department of Epidemiology, Helmholtz Centre for Infection Research (HZI), Braunschweig, Germany.; Charité-Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin and Humboldt-Universität zu Berlin, Institute of Biometry and Clinical Epidemiology, Berlin, Germany.; Department of Epidemiology, Helmholtz Centre for Infection Research (HZI), Braunschweig, Germany. berit.lange@helmholtz-hzi.de.",berit.lange@helmholtz-hzi.de.
40624061,Intranasal booster induces durable mucosal immunity against SARS-CoV-2 in mice.,2025 Jul 07,"Tom Hill, Lara Myers, Aaron B Carmody","Integrated Data Science Section, Research Technology Branch, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD, USA.; Research Technologies Branch, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Hamilton, MT, USA.",N/A
40623876,Impact of vaccine mandates and removals on COVID-19 vaccine uptake in Australia and international comparators: a study protocol.,2025 Jul 07,"Huong Le, Annette K Regan, Frank H Beard, Kristine Macartney, Hannah Catherine Moore, Christopher C Blyth","Wesfarmers Centre of Vaccines and Infectious Diseases, The Kids Research Institute Australia, Nedlands, Western Australia, Australia.; Department of Research and Evaluation, Kaiser Permanente Southern California, Pasadena, CA, USA.; National Centre for Immunisation Research and Surveillance, Westmead, New South Wales, Australia.; National Centre for Immunisation Research and Surveillance of Vaccine Preventable Diseases, Westmead, New South Wales, Australia.",N/A
40623115,Passive immunotherapy for adults hospitalized with COVID-19: An individual participant data meta-analysis of six randomized controlled trials.,2025 Jul 07,"Kirk U Knowlton, Robert L Gottlieb, Thomas L Holland, Susana Lazarte, Lindsey M Leither, Joseph Lutaakome, Magdalena Ardelt, J Scott Overcash, David Vallee, Amy C Weintrob, Giota Touloumi","Ralph H Johnson VA Medical Center, Charleston, South Carolina, United States of America.; Department of Medicine, Division of Infectious Diseases, Duke University, Duke Clinical Research Institute, Durham, North Carolina, United States of America.; Frederick National Laboratory for Cancer Research/Leidos Biomedical Research, Frederick, Maryland, United States of America.; Intermountain Medical Center, Salt Lake City, Utah, United States of America.; Division of Infectious Diseases and Geographic Medicine, Department of Internal Medicine, University of Texas Southwestern Medical Center, Dallas, Texas, United States of America.; Intermountain Heart Institute, Intermountain Medical Center, Salt Lake City, Utah, United States of America.; Medical Research Council/Uganda Virus Research Institute and London School of Hygiene and Tropical Medicine Uganda Research Unit, Entebbe, Uganda.; Washington D.C. Veterans Affairs Medical Center and George Washington University, Washington, DC, United States of America.; Department of Hygiene, Epidemiology, & Medical Statistics, Medical School, National & Kapodistrian University of Athens, Athens, Greece.; Baylor University Medical Center, Baylor Scott & White The Heart Hospital, Dallas, Texas, United States of America.; Velocity Clinical Research, San Diego, California, United States of America.",N/A
40623023,Determinants of COVID-19 vaccine uptake among persons with disabilities in three selected districts of Zambia.,2025,Isaac Fwemba,"Department of Medical Education, School of Medicine, University of Zambia, Lusaka, Zambia.",N/A
40622951,Preparing for future pandemics: A qualitative exploration of social media in light of the COVID-19 pandemic and vaccine hesitancy.,2025,Jordan Nelson,"Independent Researcher, Birmingham, Alabama, United States of America.",N/A
